,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
3125,nanihaal,9/29/25,Delhi,chattarpur,1394450,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
3126,nanihaal,9/29/25,Lucknow,aliganj,1339714,"masala, pickle and papad",whole spices,garam masala,nanihaal garam masala,100 g,324671,No,,,190,1,190
3127,nanihaal,9/29/25,Gurgaon,cyber city,1380623,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3128,nanihaal,9/29/25,Delhi,rohini,1404620,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
3129,nanihaal,9/29/25,Noida,crossing republic,1389634,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
3130,nanihaal,9/29/25,Faridabad,nit,1390226,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,75,1,75
3131,nanihaal,9/29/25,Cuttack,cda,1402075,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
3132,nanihaal,9/29/25,Mumbai,jog gor west,1403842,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3133,nanihaal,9/29/25,Pune,wagholi,1403046,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3134,nanihaal,9/29/25,Gurgaon,old gurgaon (zone 6),1403184,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
3135,nanihaal,9/29/25,Kolkata,kankurgachi,1388197,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3136,nanihaal,9/29/25,Noida 1,noida expressway,1397625,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
3137,nanihaal,9/29/25,Central Goa,goa_sou_margao,1403181,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
3138,nanihaal,9/29/25,Gurgaon,old gurgaon (zone 6),1403184,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3139,nanihaal,9/29/25,Mumbai,fort colaba,1383130,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3140,nanihaal,9/29/25,Delhi,nsp,1404596,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
3141,nanihaal,9/29/25,Kolkata,south kolkata,1380621,"masala, pickle and papad",whole spices,jeera,nanihaal jeera,200 g,655718,No,,,170,1,170
3142,nanihaal,9/29/25,Noida,crossing republic,1404167,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
3143,nanihaal,9/3/25,Gurgaon,cyber city,1380623,"masala, pickle and papad",whole spices,ajwain,nanihaal ajwain,100 g,903650,No,,,70,1,70
3144,nanihaal,9/3/25,Gurgaon,huda city,1298919,"masala, pickle and papad",whole spices,elaichi,nanihaal moti elaichi,50 g,642095,No,,,255,1,255
3145,nanihaal,9/3/25,Gurgaon,new sohna road,1402056,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,1,135
3146,nanihaal,9/3/25,Delhi,malviya nagar,406774,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
3147,nanihaal,9/3/25,Moradabad,budh bazar,1402272,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,55,1,55
3148,nanihaal,9/3/25,Noida,crossing republic,1389634,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
3149,nanihaal,9/3/25,Kolkata,ruby area,1403466,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,210,1,210
3150,nanihaal,9/3/25,Gurgaon,old gurgaon (zone 6),1389005,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,55,3,165
3151,nanihaal,9/3/25,Gurgaon,dlf phase 4,762551,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3152,nanihaal,9/3/25,Delhi,janakpuri,1099457,"masala, pickle and papad",whole spices,cinnamon,nanihaal dal cheeni,50 g,573571,No,,,75,1,75
3153,nanihaal,9/3/25,Bhubaneswar,khandagiri,1400218,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,55,1,55
3154,nanihaal,9/3/25,Gurgaon,new sohna road,1397028,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,2,80
3155,nanihaal,9/3/25,Kolkata,behala,1400223,"masala, pickle and papad",whole spices,garam masala,nanihaal garam masala,100 g,324671,No,,,190,1,190
3156,nanihaal,9/3/25,Noida,raj nagar,1400555,"masala, pickle and papad",whole spices,elaichi,nanihaal moti elaichi,50 g,642095,No,,,255,1,255
3157,nanihaal,9/3/25,Gurgaon,jalvayu towers,1395428,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
